timestamp_ms,gas,brake,distanceTraveled,speedKmh,normalizedCarPosition,index,distance_m,segment_length_m,x,y,z,elevation_m,gradient_pct,radius_m,speed_ms,speed_kmh,width_left_m,width_right_m,width_total_m
1775570383880,1.0,0.0,7193.6064453125,154.69866943359375,6.772406050004065e-05,0.148193,0.241554,1.63215,-4.6523,63.9608,-763.823,63.9608,-0.0785421,2000,25.8997,93.2519,2.40296,11.037,13.44
1775570383900,1.0,0.0,7194.3798828125,154.84991455078125,0.0003207393456250429,0.701837,1.14399,1.6327,-4.6534,63.9564,-762.92,63.9564,-0.371973,2000,26.1599,94.1931,2.41404,11.026,13.44
1775570383920,1.0,0.0,7195.28369140625,155.025634765625,0.00053745589684695,1.17683,1.91646,1.63105,-4.65435,63.9524,-762.146,63.9524,-0.531768,2000,26.3831,95.0006,2.42177,11.0182,13.44
1775570272060,1.0,0.0,3592.21337890625,155.2398223876953,0.0008154201204888523,1.78774,2.90613,1.62433,-4.65558,63.9469,-761.155,63.9469,-0.537877,2000,26.6702,96.0392,2.42788,11.0121,13.44
1775570272080,1.0,0.0,3593.3779296875,155.4129638671875,0.0011420401278883219,2.51007,4.07121,1.6118,-4.65651,63.9404,-759.994,63.9404,-0.54,2000,27.0148,97.2671,2.4351,11.0049,13.44
1775570272100,1.0,0.0,3594.155029296875,155.56385803222656,0.0013617674121633172,2.99727,4.8556,1.60205,-4.657,63.936,-759.213,63.936,-0.54,2000,27.2487,98.0954,2.43997,11,13.44
1775570272120,1.0,0.0,3594.803466796875,155.7308807373047,0.0015417719259858131,3.40538,5.49644,1.59187,-4.65781,63.9328,-758.57,63.9328,-0.54,2000,27.4405,98.7891,2.44405,10.9959,13.44
1775570272140,1.0,0.0,3595.84228515625,155.9272003173828,0.0018330889288336039,4.06703,6.53389,1.57526,-4.65907,63.9274,-757.529,63.9274,-0.54067,2000,27.7515,99.9139,2.45067,10.9893,13.44
1775570272160,1.0,0.0,3596.75244140625,156.10968017578125,0.002087866887450218,4.65407,7.44381,1.55999,-4.65965,63.9221,-756.619,63.9221,-0.546541,2000,28.0274,100.912,2.45654,10.9835,13.44
1775570272180,1.0,0.0,3597.533203125,156.25759887695312,0.0023072545882314444,5.16106,8.22642,1.54746,-4.66016,63.9177,-755.836,63.9177,-0.55,2000,28.2657,101.774,2.46161,10.9784,13.44
1775570272200,1.0,0.0,3598.44482421875,156.4331512451172,0.0025630074087530375,5.75583,9.13642,1.53437,-4.66076,63.913,-754.926,63.913,-0.55,2000,28.5452,102.785,2.46756,10.9724,13.44
1775570272220,1.0,0.0,3599.22705078125,156.608642578125,0.002782324096187949,6.27027,9.91811,1.52441,-4.661,63.9086,-754.144,63.9086,-0.55,2000,28.7897,103.659,2.4727,10.9673,13.44
1775570272240,1.0,0.0,3600.01025390625,156.7540283203125,0.00303859100677073,6.8761,10.8329,1.51411,-4.661,63.9031,-753.228,63.9031,-0.55,2000,29.0805,104.689,2.47876,10.9612,13.44
1775570272260,1.0,0.0,3600.9248046875,156.9222869873047,0.0032584350556135178,7.39489,11.6163,1.50766,-4.661,63.8988,-752.448,63.8988,-0.55,2000,29.3256,105.571,2.48395,10.9561,13.4361
1775570272280,1.0,0.0,3601.84033203125,157.11557006835938,0.0035152819473296404,8.00067,12.531,1.501,-4.661,63.894,-751.539,63.894,-0.55,2000,29.6103,106.601,2.49001,10.95,13.43
1775570272300,1.0,0.0,3602.88818359375,157.2783966064453,0.0038092229515314102,8.70388,13.5788,1.49678,-4.6603,63.8884,-750.488,63.8884,-0.55,2000,29.9408,107.797,2.49704,10.943,13.43
1775570272320,1.0,0.0,3603.41259765625,157.4521026611328,0.003992960322648287,9.14345,14.2337,1.49471,-4.65986,63.8849,-749.831,63.8849,-0.55,2000,30.1489,108.544,2.5,10.9386,13.43
1775570272340,1.0,0.0,3604.59375,157.60897827148438,0.00428693788126111,9.84674,15.2816,1.49331,-4.65915,63.8792,-748.781,63.8792,-0.55,2000,30.4864,109.739,2.5,10.9315,13.43
1775570272360,1.0,0.0,3605.3818359375,157.75933837890625,0.004545400384813547,10.4629,16.2043,1.49346,-4.65854,63.8743,-747.86,63.8743,-0.545371,2000,30.5739,110.046,2.50463,10.9254,13.43
1775570272380,1.0,0.0,3606.302734375,157.94827270507812,0.004766663070768118,10.9897,16.9945,1.49399,-4.65801,63.8701,-747.073,63.8701,-0.540103,2000,30.5897,110.099,2.5099,10.9201,13.43
1775570272400,1.0,0.0,3607.0927734375,158.11740112304688,0.00502537377178669,11.6085,17.9167,1.49461,-4.65739,63.8651,-746.148,63.8651,-0.54,2000,30.6265,110.222,2.51609,10.9139,13.43
1775570272420,1.0,0.0,3608.015380859375,158.2640380859375,0.00524692190811038,12.1376,18.7064,1.49528,-4.65672,63.8609,-745.357,63.8609,-0.54,2000,30.6555,110.328,2.52,10.91,13.43
1775570272440,1.0,0.0,3608.806640625,158.4436492919922,0.0055056046694517136,12.752,19.628,1.4965,-4.6555,63.856,-744.437,63.856,-0.54,2000,30.6801,110.45,2.52,10.91,13.43
1775570272460,1.0,0.0,3609.73095703125,158.60964965820312,0.005727567244321108,13.2793,20.4189,1.49784,-4.65444,63.8518,-743.647,63.8518,-0.537207,2000,30.7012,110.528,2.52279,10.9072,13.43
1775570272480,1.0,0.0,3610.524169921875,158.75706481933594,0.0059870402328670025,13.8956,21.3434,1.49969,-4.65321,63.8468,-742.723,63.8468,-0.531044,2000,30.7258,110.59,2.52896,10.901,13.43
1775570272500,1.0,0.0,3611.45068359375,158.93402099609375,0.006210233084857464,14.4257,22.1386,1.50085,-4.65215,63.8426,-741.927,63.8426,-0.53,2000,30.7555,110.685,2.53426,10.8957,13.43
1775570272520,1.0,0.0,3612.24560546875,159.1031951904297,0.006470108404755592,15.0428,23.0646,1.50209,-4.65091,63.8377,-741,63.8377,-0.53,2000,30.7921,110.809,2.54,10.89,13.43
1775570272540,1.0,0.0,3613.173828125,159.25645446777344,0.006692880764603615,15.5695,23.8599,1.50314,-4.64986,63.8334,-740.208,63.8334,-0.53,2000,30.8185,110.914,2.54,10.89,13.43
1775570272560,1.0,0.0,3614.36865234375,159.41726684570312,0.007028311491012573,16.3642,25.0562,1.50473,-4.64864,63.8267,-739.012,63.8267,-0.533642,2000,30.8546,111.073,2.54364,10.8864,13.43
1775570272580,1.0,0.0,3614.900390625,159.593994140625,0.007177192717790604,16.7178,25.5867,1.50544,-4.64828,63.8235,-738.479,63.8235,-0.537178,2000,30.8687,111.144,2.54718,10.8828,13.43
1775570272600,1.0,0.0,3616.09765625,159.7509002685547,0.007512769661843777,17.5125,26.7838,1.50702,-4.64698,63.8169,-737.281,63.8169,-0.545125,2000,30.9056,111.302,2.55512,10.8749,13.43
1775570272620,1.0,0.0,3616.63037109375,159.9202880859375,0.0076622567139565945,17.8659,27.3174,1.50773,-4.64627,63.8141,-736.748,63.8141,-0.548659,2000,30.9233,111.373,2.55866,10.8713,13.43
1775570272640,1.0,0.0,3617.82958984375,160.0782928466797,0.007998831570148468,18.66,28.5166,1.50998,-4.64468,63.8077,-735.549,63.8077,-0.5566,2000,30.9564,111.466,2.56,10.87,13.43
1775570272660,1.0,0.0,3618.763427734375,160.19798278808594,0.008260383270680904,19.2768,29.448,1.51155,-4.64345,63.8025,-734.617,63.8025,-0.562768,2000,30.9811,111.528,2.56277,10.8672,13.43
1775570272680,1.0,0.0,3619.564453125,160.355712890625,0.00848526693880558,19.8072,30.2489,1.51261,-4.64239,63.7977,-733.815,63.7977,-0.568072,2000,31.0023,111.581,2.56807,10.8619,13.43
1775570272700,1.0,0.0,3620.500244140625,160.53713989257812,0.008747671730816364,20.4241,31.1847,1.51385,-4.64158,63.7922,-732.88,63.7922,-0.574241,2000,31.0354,111.727,2.57,10.8558,13.43
1775570272720,1.0,0.0,3621.30322265625,160.69068908691406,0.009010210633277893,21.0406,32.1213,1.51508,-4.64092,63.7867,-731.946,63.7867,-0.580406,2000,31.0716,111.904,2.57041,10.85,13.43
1775570272740,1.0,0.0,3622.2412109375,160.88272094726562,0.009235712699592113,21.5724,32.9244,1.51614,-4.63986,63.7824,-731.14,63.7824,-0.585724,2000,31.0929,111.957,2.57572,10.85,13.43
1775570272760,1.0,0.0,3623.179931640625,161.04562377929688,0.009499119594693184,22.1928,33.863,1.51739,-4.63881,63.7771,-730.199,63.7771,-0.591928,2000,31.1216,112.039,2.58193,10.8481,13.43
1775570272780,1.0,0.0,3623.985595703125,161.19715881347656,0.00972492154687643,22.7228,34.6687,1.51845,-4.63828,63.7718,-729.394,63.7718,-0.597228,2000,31.1534,112.145,2.58723,10.8428,13.43
1775570272800,1.0,0.0,3624.926025390625,161.36614990234375,0.010040420107543468,23.4634,35.7944,1.51993,-4.63707,63.7648,-728.268,63.7648,-0.604634,2000,31.1885,112.246,2.59,10.84,13.43
1775570272820,1.0,0.0,3625.73291015625,161.52734375,0.010259052738547325,23.9766,36.5745,1.52095,-4.63605,63.7602,-727.488,63.7602,-0.609766,2000,31.2091,112.298,2.59,10.84,13.43
1775570272840,1.0,0.0,3626.67529296875,161.66038513183594,0.010265299119055271,23.9913,36.5968,1.52098,-4.63602,63.7601,-727.465,63.7601,-0.609913,2000,31.2097,112.299,2.59,10.84,13.43
1775570272860,1.0,0.0,3627.618896484375,161.8351593017578,0.010767783038318157,24.3799,38.3878,2.71876,-4.63258,63.7475,-725.676,63.7475,-0.647988,1693.36,31.229,112.376,2.5976,10.8324,13.43
1775570272880,1.0,0.0,3628.428466796875,162.00648498535156,0.010995565913617611,24.5534,39.1997,3.26575,-4.63102,63.7417,-724.866,63.7417,-0.665336,1553.33,31.2377,112.411,2.60107,10.8289,13.43
1775570272900,1.0,0.0,3629.373779296875,162.15402221679688,0.011576107703149319,24.9955,41.269,4.65985,-4.62704,63.7271,-722.799,63.7271,-0.709551,1196.42,31.2598,112.499,2.60991,10.8201,13.43
1775570272920,1.0,0.0,3630.320068359375,162.32293701171875,0.011576107703149319,24.9955,41.269,4.65985,-4.62704,63.7271,-722.799,63.7271,-0.709551,1196.42,31.2598,112.499,2.60991,10.8201,13.43
1775570272940,1.0,0.0,3631.26708984375,162.48329162597656,0.01170111820101738,25.2829,41.7144,3.77651,-4.62559,63.7239,-722.353,63.7239,-0.71,1421.19,31.2741,112.557,2.61,10.82,13.43
1775570272960,1.0,0.0,3632.079833984375,162.62669372558594,0.01203218661248684,26.0693,42.894,1.50214,-4.62165,63.7153,-721.172,63.7153,-0.70792,2000,31.3121,112.707,2.61,10.82,13.43
1775570272980,1.0,0.0,3633.02880859375,162.80422973632812,0.012260250747203827,26.611,43.7066,1.50322,-4.61894,63.7099,-720.358,63.7099,-0.691669,2000,31.3283,112.761,2.61,10.82,13.43
1775570273000,1.0,0.0,3633.978759765625,162.95884704589844,0.01252636220306158,27.242,44.6554,1.50448,-4.61531,63.7038,-719.409,63.7038,-0.6679,2000,31.3545,112.848,2.61,10.8176,13.43
1775570273020,1.0,0.0,3634.522216796875,163.10540771484375,0.012678926810622215,27.6027,45.2,1.50521,-4.61278,63.7006,-718.865,63.7006,-0.649867,2000,31.3762,112.921,2.61,10.814,13.43
