index,distance_m,segment_length_m,x,y,z,elevation_m,gradient_pct,radius_m,speed_ms,speed_kmh,width_left_m,width_right_m,width_total_m
0,0.00,1.713,-4.559,63.969,-763.759,63.969,0.00,2000.0,51.32,184.8,2.32,26.15,28.47
1,1.71,1.712,-4.548,63.960,-762.047,63.960,-0.51,2000.0,51.39,185.0,2.33,26.39,28.72
2,3.41,1.699,-4.537,63.952,-760.348,63.952,-0.52,2000.0,51.45,185.2,2.33,26.63,28.96
3,5.09,1.678,-4.528,63.943,-758.670,63.943,-0.52,2000.0,51.52,185.5,2.33,26.87,29.20
4,6.74,1.653,-4.519,63.934,-757.017,63.934,-0.53,2000.0,51.58,185.7,2.33,27.11,29.44
5,8.37,1.628,-4.511,63.926,-755.389,63.926,-0.53,2000.0,51.64,185.9,2.34,27.35,29.69
6,9.98,1.608,-4.505,63.917,-753.781,63.917,-0.54,2000.0,51.71,186.1,2.34,27.59,29.93
7,11.57,1.593,-4.500,63.908,-752.188,63.908,-0.54,2000.0,51.77,186.4,2.34,27.83,30.17
8,13.16,1.586,-4.496,63.900,-750.601,63.900,-0.54,2000.0,51.84,186.6,2.34,28.07,30.41
9,14.74,1.583,-4.492,63.891,-749.018,63.891,-0.55,2000.0,51.90,186.8,2.35,28.31,30.66
10,16.33,1.585,-4.490,63.882,-747.433,63.882,-0.55,2000.0,51.96,187.1,2.35,28.55,30.90
11,17.91,1.589,-4.488,63.874,-745.845,63.874,-0.55,2000.0,52.07,187.4,2.35,28.55,30.90
12,19.51,1.593,-4.487,63.865,-744.252,63.865,-0.54,2000.0,52.25,188.1,2.40,28.55,30.95
13,21.11,1.598,-4.487,63.856,-742.654,63.856,-0.54,2000.0,52.39,188.6,2.40,28.55,30.95
14,22.71,1.602,-4.487,63.848,-741.052,63.848,-0.54,2000.0,52.52,189.1,2.40,28.50,30.90
15,24.31,1.606,-4.488,63.839,-739.446,63.839,-0.53,2000.0,52.71,189.8,2.40,28.50,30.90
16,25.92,1.610,-4.489,63.831,-737.835,63.831,-0.53,2000.0,52.78,190.0,2.40,28.80,31.20
17,27.54,1.614,-4.491,63.822,-736.221,63.822,-0.53,2000.0,52.91,190.5,2.45,28.80,31.25
18,29.16,1.617,-4.492,63.814,-734.604,63.814,-0.54,2000.0,53.09,191.1,2.45,28.75,31.20
