index,distance_m,segment_length_m,x,y,z,elevation_m,gradient_pct,radius_m,speed_ms,speed_kmh,width_left_m,width_right_m,width_total_m
0,0.00,1.538,-4.974,63.960,-763.293,63.960,0.00,1316.7,50.85,183.1,2.75,29.27,32.02
1,1.53,1.534,-5.025,63.951,-761.760,63.951,-0.59,1259.2,50.91,183.3,2.78,29.13,31.92
2,3.06,1.522,-5.074,63.942,-760.239,63.942,-0.59,1201.6,50.97,183.5,2.82,28.99,31.81
3,4.56,1.505,-5.119,63.933,-758.735,63.933,-0.59,1144.0,51.03,183.7,2.85,28.85,31.70
4,6.05,1.486,-5.156,63.924,-757.250,63.924,-0.59,1086.4,51.09,183.9,2.89,28.70,31.59
5,7.52,1.469,-5.185,63.915,-755.781,63.915,-0.59,1028.8,51.15,184.1,2.92,28.56,31.49
6,8.97,1.457,-5.206,63.907,-754.324,63.907,-0.58,971.2,51.21,184.3,2.96,28.42,31.38
7,10.42,1.451,-5.218,63.899,-752.873,63.899,-0.58,913.7,51.26,184.6,2.99,28.28,31.27
8,11.87,1.450,-5.221,63.890,-751.423,63.890,-0.57,856.1,51.32,184.8,3.03,28.13,31.16
9,13.33,1.454,-5.218,63.882,-749.970,63.882,-0.57,798.5,51.38,185.0,3.06,27.99,31.06
10,14.79,1.460,-5.208,63.874,-748.510,63.874,-0.56,740.9,51.44,185.2,3.10,27.85,30.95
11,16.25,1.467,-5.193,63.866,-747.043,63.866,-0.55,1068.0,51.57,185.7,3.05,27.85,30.90
12,17.73,1.473,-5.174,63.858,-745.570,63.858,-0.54,1474.9,51.68,186.0,3.05,27.90,30.95
13,19.21,1.480,-5.153,63.850,-744.091,63.850,-0.53,1892.7,51.84,186.6,3.05,27.90,30.95
14,20.69,1.485,-5.129,63.842,-742.606,63.842,-0.53,2000.0,51.97,187.1,3.00,27.90,30.90
15,22.18,1.490,-5.103,63.834,-741.116,63.834,-0.52,2000.0,52.09,187.5,3.00,27.95,30.95
16,23.68,1.494,-5.076,63.827,-739.623,63.827,-0.51,2000.0,52.26,188.1,2.95,27.95,30.90
17,25.17,1.498,-5.048,63.819,-738.125,63.819,-0.50,2000.0,52.36,188.5,2.95,28.25,31.20
18,26.67,1.501,-5.019,63.812,-736.624,63.812,-0.50,2000.0,52.42,188.7,2.95,28.30,31.25
19,28.18,1.505,-4.989,63.804,-735.119,63.804,-0.51,2000.0,52.61,189.4,2.90,28.30,31.20
20,29.69,1.508,-4.958,63.796,-733.611,63.796,-0.51,2000.0,52.74,189.9,2.90,28.30,31.20
21,31.20,1.512,-4.927,63.788,-732.099,63.788,-0.52,2000.0,52.89,190.4,2.85,28.35,31.20
22,32.72,1.515,-4.895,63.780,-730.584,63.780,-0.54,2000.0,53.03,190.9,2.85,28.35,31.20
23,34.23,1.519,-4.863,63.772,-729.066,63.772,-0.55,2000.0,53.12,191.2,2.80,28.40,31.20
24,35.76,1.522,-4.830,63.763,-727.544,63.763,-0.57,2000.0,53.29,191.8,2.80,28.40,31.20
25,40.45,4.690,-4.730,63.734,-722.855,63.734,-0.61,2000.0,53.43,192.3,2.75,28.45,31.20
26,42.05,1.605,-4.697,63.724,-721.251,63.724,-0.67,2000.0,53.54,192.7,2.70,28.45,31.15
27,43.66,1.608,-4.666,63.712,-719.643,63.712,-0.70,1869.4,53.66,193.2,2.70,28.50,31.20
28,45.27,1.613,-4.635,63.702,-718.031,63.702,-0.68,1595.3,53.83,193.8,2.65,28.50,31.15
29,46.89,1.617,-4.607,63.692,-716.414,63.692,-0.61,1430.2,53.93,194.1,2.65,28.50,31.15
30,48.51,1.620,-4.580,63.682,-714.794,63.682,-0.61,1398.3,54.06,194.6,2.60,28.25,30.85
31,50.13,1.624,-4.554,63.672,-713.170,63.672,-0.58,1353.0,54.20,195.1,2.60,28.30,30.90
32,51.76,1.628,-4.531,63.664,-711.543,63.664,-0.53,1332.3,54.32,195.5,2.60,28.25,30.85
33,53.39,1.632,-4.510,63.655,-709.911,63.655,-0.51,1334.8,54.46,196.0,2.55,28.25,30.80
34,55.03,1.634,-4.492,63.647,-708.277,63.647,-0.53,1349.5,54.47,196.1,2.55,28.25,30.80
35,56.66,1.634,-4.475,63.636,-706.643,63.636,-0.65,1389.5,54.43,195.9,2.55,28.25,30.80
36,58.29,1.632,-4.459,63.622,-705.011,63.622,-0.87,1424.1,54.37,195.7,2.55,28.25,30.80
37,59.92,1.630,-4.446,63.606,-703.382,63.606,-0.94,1518.3,54.30,195.5,2.55,28.25,30.80
38,61.55,1.628,-4.435,63.592,-701.754,63.592,-0.86,1710.8,54.25,195.3,2.55,28.25,30.80
39,63.18,1.626,-4.426,63.580,-700.127,63.580,-0.79,2000.0,54.19,195.1,2.55,28.25,30.80
40,64.80,1.625,-4.418,63.568,-698.502,63.568,-0.69,2000.0,54.15,195.0,2.55,30.55,33.10
41,66.43,1.624,-4.411,63.557,-696.878,63.557,-0.73,2000.0,54.10,194.8,2.55,30.45,33.00
42,68.05,1.622,-4.404,63.544,-695.257,63.544,-0.79,2000.0,54.04,194.6,2.55,30.40,32.95
43,69.67,1.622,-4.398,63.529,-693.635,63.529,-0.89,2000.0,54.10,194.8,2.55,30.30,32.85
44,71.29,1.624,-4.392,63.515,-692.010,63.515,-0.88,2000.0,54.18,195.1,2.55,30.25,32.80
45,72.92,1.627,-4.385,63.501,-690.384,63.501,-0.86,2000.0,54.27,195.4,2.55,30.20,32.75
46,74.55,1.630,-4.379,63.487,-688.753,63.487,-0.89,2000.0,54.40,195.8,2.55,30.20,32.75
