lap,lap_time_s,tempFL_C,tempFR_C,tempRL_C,tempRR_C,wearFL_pct,wearFR_pct,wearRL_pct,wearRR_pct,pressureFL_psi,pressureFR_psi,pressureRL_psi,pressureRR_psi
1,122.531,294.86,300.13,307.46,311.27,99.689,99.680,99.670,99.664,49.368,49.826,50.462,50.793
2,180.245,248.46,250.89,296.37,298.07,99.364,99.351,99.268,99.260,45.334,45.546,49.498,49.647
3,180.245,240.81,242.78,294.54,295.90,99.055,99.035,98.866,98.855,44.670,44.841,49.339,49.458
4,180.245,239.55,241.44,294.24,295.54,98.751,98.724,98.464,98.451,44.561,44.725,49.313,49.427
5,180.245,239.35,241.22,294.19,295.48,98.449,98.414,98.062,98.046,44.543,44.706,49.309,49.422
6,180.245,239.31,241.19,294.18,295.47,98.147,98.104,97.660,97.642,44.540,44.703,49.308,49.421
7,180.245,239.31,241.18,294.18,295.47,97.845,97.794,97.258,97.238,44.539,44.702,49.308,49.421
8,180.245,239.31,241.18,294.18,295.47,97.543,97.484,96.857,96.833,44.539,44.702,49.308,49.421
9,180.245,239.31,241.18,294.18,295.47,97.240,97.174,96.455,96.429,44.539,44.702,49.308,49.421
10,180.245,239.31,241.18,294.18,295.47,96.938,96.865,96.053,96.024,44.539,44.702,49.308,49.421
11,180.245,239.31,241.18,294.18,295.47,96.636,96.555,95.651,95.620,44.539,44.702,49.308,49.421
12,180.245,239.31,241.18,294.18,295.47,96.334,96.245,95.249,95.216,44.539,44.702,49.308,49.421
