index,distance_m,segment_length_m,x,y,z,elevation_m,gradient_pct,radius_m,speed_ms,speed_kmh,width_left_m,width_right_m,width_total_m
0,0.00,1.625,-5.072,63.958,-763.414,63.958,0.00,2000.0,53.24,191.7,2.77,25.67,28.45
1,1.61,1.609,-5.053,63.950,-761.805,63.950,-0.50,2000.0,53.38,192.2,2.77,25.93,28.70
2,3.19,1.585,-5.034,63.942,-760.220,63.942,-0.51,2000.0,53.52,192.7,2.76,26.19,28.95
3,4.75,1.556,-5.013,63.934,-758.664,63.934,-0.51,2000.0,53.66,193.2,2.75,26.45,29.20
4,6.28,1.525,-4.992,63.926,-757.139,63.926,-0.51,2000.0,53.80,193.7,2.74,26.70,29.45
5,7.77,1.497,-4.970,63.918,-755.642,63.918,-0.52,2000.0,53.94,194.2,2.74,26.96,29.70
6,9.25,1.476,-4.948,63.910,-754.166,63.910,-0.52,2000.0,54.08,194.7,2.73,27.22,29.95
7,10.71,1.462,-4.926,63.903,-752.705,63.903,-0.53,2000.0,54.22,195.2,2.72,27.48,30.20
8,12.16,1.455,-4.904,63.895,-751.250,63.895,-0.53,2000.0,54.36,195.7,2.71,27.73,30.45
9,13.62,1.453,-4.881,63.887,-749.798,63.887,-0.53,2000.0,54.50,196.2,2.71,27.99,30.70
10,15.07,1.455,-4.858,63.879,-748.343,63.879,-0.53,2000.0,54.64,196.7,2.70,28.25,30.95
11,16.53,1.459,-4.835,63.872,-746.884,63.872,-0.53,2000.0,54.76,197.1,2.70,28.25,30.95
12,18.00,1.464,-4.812,63.864,-745.421,63.864,-0.52,2000.0,54.85,197.5,2.70,28.25,30.95
13,19.46,1.468,-4.789,63.857,-743.953,63.857,-0.52,2000.0,54.99,198.0,2.65,28.25,30.90
14,20.94,1.472,-4.765,63.849,-742.481,63.849,-0.51,2000.0,55.11,198.4,2.65,28.25,30.90
15,22.41,1.476,-4.742,63.842,-741.005,63.842,-0.50,2000.0,55.21,198.8,2.65,28.30,30.95
16,23.89,1.479,-4.719,63.834,-739.526,63.834,-0.50,2000.0,55.37,199.3,2.60,28.30,30.90
17,25.37,1.482,-4.695,63.827,-738.044,63.827,-0.49,2000.0,55.45,199.6,2.60,28.60,31.20
18,26.86,1.485,-4.672,63.820,-736.559,63.820,-0.49,2000.0,55.52,199.9,2.60,28.60,31.20
19,28.35,1.488,-4.648,63.812,-735.071,63.812,-0.49,2000.0,55.66,200.4,2.55,28.65,31.20
20,29.84,1.491,-4.625,63.805,-733.580,63.805,-0.50,2000.0,55.77,200.8,2.55,28.65,31.20
21,31.33,1.494,-4.601,63.797,-732.086,63.797,-0.51,2000.0,55.89,201.2,2.55,28.65,31.20
22,32.83,1.497,-4.578,63.790,-730.590,63.790,-0.53,2000.0,56.02,201.7,2.50,28.65,31.15
23,34.33,1.499,-4.555,63.781,-729.091,63.781,-0.55,2000.0,56.10,201.9,2.50,28.70,31.20
24,35.83,1.502,-4.532,63.773,-727.589,63.773,-0.57,2000.0,56.23,202.4,2.50,28.70,31.20
25,40.45,4.621,-4.462,63.743,-722.968,63.743,-0.64,2000.0,56.35,202.9,2.45,28.70,31.15
26,42.03,1.579,-4.440,63.732,-721.389,63.732,-0.71,2000.0,56.45,203.2,2.45,28.70,31.15
27,43.61,1.582,-4.418,63.720,-719.807,63.720,-0.74,2000.0,56.56,203.6,2.45,28.75,31.20
28,45.20,1.586,-4.397,63.708,-718.221,63.708,-0.72,2000.0,56.69,204.1,2.40,28.75,31.15
29,46.79,1.589,-4.376,63.698,-716.632,63.698,-0.67,2000.0,56.80,204.5,2.40,28.75,31.15
30,48.38,1.592,-4.357,63.688,-715.040,63.688,-0.63,2000.0,56.90,204.8,2.40,28.45,30.85
31,49.98,1.595,-4.339,63.678,-713.445,63.678,-0.60,2000.0,57.03,205.3,2.40,28.50,30.90
32,51.57,1.598,-4.321,63.669,-711.847,63.669,-0.55,2000.0,57.13,205.7,2.35,28.50,30.85
33,53.18,1.601,-4.305,63.661,-710.245,63.661,-0.52,2000.0,57.24,206.1,2.35,28.50,30.85
34,54.78,1.605,-4.291,63.653,-708.641,63.653,-0.53,2000.0,57.36,206.5,2.35,28.45,30.80
35,56.39,1.607,-4.277,63.643,-707.034,63.643,-0.60,2000.0,57.42,206.7,2.35,28.45,30.80
36,58.00,1.608,-4.263,63.631,-705.425,63.631,-0.76,2000.0,57.48,206.9,2.35,28.45,30.80
37,59.61,1.612,-4.251,63.617,-703.814,63.617,-0.86,2000.0,57.62,207.4,2.35,28.45,30.80
38,61.22,1.615,-4.240,63.604,-702.198,63.604,-0.84,2000.0,57.74,207.9,2.35,28.45,30.80
39,62.84,1.619,-4.231,63.591,-700.580,63.591,-0.80,2000.0,57.87,208.3,2.35,28.45,30.80
40,64.46,1.622,-4.223,63.579,-698.958,63.579,-0.73,2000.0,57.98,208.7,2.35,30.75,33.10
41,66.09,1.625,-4.216,63.567,-697.333,63.567,-0.73,2000.0,58.09,209.1,2.35,30.65,33.00
42,67.72,1.628,-4.210,63.554,-695.705,63.554,-0.77,2000.0,58.15,209.3,2.35,30.60,32.95
43,69.35,1.630,-4.205,63.541,-694.076,63.541,-0.85,2000.0,58.26,209.7,2.35,30.50,32.85
44,70.98,1.633,-4.201,63.526,-692.442,63.526,-0.87,2000.0,58.38,210.2,2.35,30.45,32.80
45,72.62,1.636,-4.198,63.512,-690.806,63.512,-0.87,2000.0,58.47,210.5,2.35,30.40,32.75
46,74.25,1.639,-4.196,63.497,-689.167,63.497,-0.92,2000.0,58.57,210.9,2.35,30.35,32.70
47,75.90,1.642,-4.195,63.482,-687.526,63.482,-0.92,2000.0,58.68,211.2,2.40,30.35,32.75
48,77.54,1.645,-4.194,63.467,-685.881,63.467,-0.93,2000.0,58.78,211.6,2.40,30.35,32.75
49,79.19,1.648,-4.194,63.452,-684.234,63.452,-0.88,2000.0,58.88,212.0,2.40,30.35,32.75
50,80.84,1.651,-4.195,63.439,-682.583,63.439,-0.79,2000.0,59.01,212.4,2.40,30.30,32.70
51,82.49,1.654,-4.197,63.428,-680.929,63.428,-0.66,2000.0,59.10,212.8,2.45,30.30,32.75
52,84.15,1.656,-4.198,63.418,-679.273,63.418,-0.61,2000.0,59.20,213.1,2.45,30.30,32.75
53,85.81,1.659,-4.201,63.408,-677.614,63.408,-0.58,2000.0,59.29,213.4,2.45,30.25,32.70
54,87.47,1.661,-4.203,63.398,-675.952,63.398,-0.62,2000.0,59.37,213.7,2.45,30.25,32.70
55,89.13,1.664,-4.206,63.387,-674.289,63.387,-0.63,2000.0,59.48,214.1,2.50,30.25,32.75
56,90.80,1.667,-4.209,63.377,-672.622,63.377,-0.62,2000.0,59.58,214.5,2.50,30.20,32.70
57,92.47,1.669,-4.211,63.367,-670.952,63.367,-0.63,2000.0,59.65,214.8,2.50,30.20,32.70
58,94.14,1.672,-4.214,63.356,-669.280,63.356,-0.66,2000.0,59.77,215.2,2.50,30.20,32.70
59,95.82,1.675,-4.216,63.345,-667.605,63.345,-0.65,2000.0,59.85,215.4,2.55,30.20,32.75
60,97.49,1.675,-4.218,63.334,-665.930,63.334,-0.66,2000.0,59.82,215.3,2.55,30.15,32.70
61,99.17,1.674,-4.220,63.323,-664.256,63.323,-0.65,2000.0,59.76,215.1,2.55,30.15,32.70
62,100.84,1.672,-4.221,63.312,-662.583,63.312,-0.66,2000.0,59.70,214.9,2.55,30.15,32.70
63,102.51,1.671,-4.222,63.300,-660.913,63.300,-0.72,2000.0,59.64,214.7,2.60,30.10,32.70
64,104.18,1.669,-4.222,63.287,-659.244,63.287,-0.74,2000.0,59.58,214.5,2.60,30.10,32.70
65,105.85,1.667,-4.222,63.274,-657.576,63.274,-0.78,2000.0,59.53,214.3,2.60,30.10,32.70
66,107.51,1.666,-4.221,63.260,-655.911,63.260,-0.83,2000.0,59.47,214.1,2.60,30.10,32.70
67,109.18,1.664,-4.220,63.245,-654.247,63.245,-0.91,2000.0,59.41,213.9,2.65,30.05,32.70
68,110.84,1.662,-4.218,63.230,-652.584,63.230,-0.90,2000.0,59.35,213.7,2.65,30.05,32.70
69,112.50,1.661,-4.216,63.215,-650.924,63.215,-0.89,2000.0,59.28,213.4,2.65,30.05,32.70
70,114.16,1.659,-4.213,63.202,-649.265,63.202,-0.83,2000.0,59.23,213.2,2.65,30.05,32.70
71,115.82,1.658,-4.209,63.188,-647.606,63.188,-0.80,2000.0,59.24,213.3,2.65,30.05,32.70
72,117.48,1.659,-4.204,63.175,-645.947,63.175,-0.78,2000.0,59.28,213.4,2.65,30.00,32.65
73,119.14,1.661,-4.199,63.162,-644.286,63.162,-0.81,2000.0,59.34,213.6,2.70,30.00,32.70
74,120.80,1.663,-4.194,63.148,-642.623,63.148,-0.82,2000.0,59.45,214.0,2.70,30.00,32.70
75,122.46,1.666,-4.188,63.136,-640.958,63.136,-0.74,2000.0,59.52,214.3,2.70,30.00,32.70
76,124.13,1.668,-4.181,63.125,-639.289,63.125,-0.68,2000.0,59.63,214.7,2.70,30.00,32.70
77,125.80,1.671,-4.173,63.115,-637.618,63.115,-0.59,2000.0,59.71,215.0,2.70,30.00,32.70
78,127.48,1.673,-4.165,63.106,-635.945,63.106,-0.54,2000.0,59.80,215.3,2.70,30.00,32.70
79,129.15,1.675,-4.157,63.097,-634.270,63.097,-0.50,2000.0,59.87,215.5,2.70,29.95,32.65
80,130.83,1.678,-4.147,63.089,-632.592,63.089,-0.48,2000.0,59.97,215.9,2.70,29.95,32.65
81,132.51,1.680,-4.138,63.082,-630.912,63.082,-0.44,2000.0,60.04,216.1,2.70,29.95,32.65
82,134.19,1.682,-4.128,63.074,-629.230,63.074,-0.45,2000.0,60.11,216.4,2.75,29.95,32.70
83,135.88,1.685,-4.117,63.066,-627.545,63.066,-0.46,2000.0,60.21,216.8,2.75,13.30,16.05
84,137.56,1.687,-4.106,63.059,-625.858,63.059,-0.46,2000.0,60.27,217.0,2.75,29.95,32.70
85,139.25,1.689,-4.094,63.050,-624.170,63.050,-0.51,2000.0,60.36,217.3,2.75,29.95,32.70
86,140.94,1.691,-4.082,63.041,-622.478,63.041,-0.52,2000.0,60.44,217.6,2.75,29.95,32.70
87,142.64,1.694,-4.070,63.032,-620.785,63.032,-0.56,2000.0,60.51,217.8,2.75,29.95,32.70
88,144.33,1.696,-4.057,63.021,-619.089,63.021,-0.62,2000.0,60.59,218.1,2.75,29.95,32.70
89,146.03,1.698,-4.043,63.010,-617.391,63.010,-0.66,2000.0,60.69,218.5,2.75,29.95,32.70
90,147.73,1.701,-4.030,62.998,-615.691,62.998,-0.68,2000.0,60.76,218.7,2.75,29.95,32.70
91,149.43,1.702,-4.015,62.986,-613.989,62.986,-0.73,2000.0,60.83,219.0,2.75,29.95,32.70
92,151.14,1.705,-4.000,62.973,-612.283,62.973,-0.76,2000.0,60.94,219.4,2.75,29.95,32.70
93,152.85,1.707,-3.985,62.960,-610.576,62.960,-0.75,2000.0,61.01,219.6,2.75,29.95,32.70
94,154.56,1.710,-3.969,62.947,-608.867,62.947,-0.77,2000.0,61.10,219.9,2.75,29.95,32.70
95,156.27,1.712,-3.952,62.934,-607.155,62.934,-0.76,2000.0,61.19,220.3,2.75,29.95,32.70
96,157.98,1.714,-3.935,62.921,-605.441,62.921,-0.77,2000.0,61.26,220.5,2.75,29.95,32.70
97,159.70,1.716,-3.918,62.907,-603.724,62.907,-0.78,2000.0,61.33,220.8,2.75,29.95,32.70
98,161.42,1.719,-3.901,62.893,-602.006,62.893,-0.81,2000.0,61.42,221.1,2.70,30.00,32.70
99,163.14,1.721,-3.883,62.880,-600.285,62.880,-0.79,2000.0,61.50,221.4,2.70,30.00,32.70
100,164.86,1.723,-3.865,62.866,-598.562,62.866,-0.80,2000.0,61.58,221.7,2.70,30.00,32.70
101,166.59,1.726,-3.848,62.853,-596.836,62.853,-0.77,2000.0,61.67,222.0,2.70,30.00,32.70
102,168.32,1.728,-3.830,62.840,-595.109,62.840,-0.74,2000.0,61.75,222.3,2.70,30.00,32.70
103,170.05,1.730,-3.812,62.828,-593.379,62.828,-0.71,2000.0,61.83,222.6,2.70,30.00,32.70
104,171.78,1.732,-3.795,62.816,-591.646,62.816,-0.69,2000.0,61.91,222.9,2.70,30.00,32.70
105,173.51,1.734,-3.777,62.803,-589.912,62.803,-0.71,2000.0,61.97,223.1,2.70,30.00,32.70
106,175.25,1.736,-3.760,62.790,-588.176,62.790,-0.76,2000.0,62.04,223.3,2.70,30.00,32.70
107,176.99,1.739,-3.743,62.777,-586.437,62.777,-0.80,2000.0,62.13,223.7,2.70,30.00,32.70
108,178.73,1.741,-3.727,62.763,-584.696,62.763,-0.80,2000.0,62.21,224.0,2.70,30.00,32.70
109,180.47,1.743,-3.711,62.748,-582.953,62.748,-0.82,2000.0,62.29,224.3,2.70,30.00,32.70
110,182.22,1.746,-3.694,62.734,-581.208,62.734,-0.82,2000.0,62.38,224.6,2.70,30.00,32.70
111,183.97,1.748,-3.679,62.720,-579.460,62.720,-0.82,2000.0,62.46,224.9,2.65,30.00,32.65
112,185.72,1.750,-3.663,62.705,-577.711,62.705,-0.85,2000.0,62.52,225.1,2.65,30.05,32.70
113,187.22,1.501,-3.650,62.691,-576.210,62.691,-0.92,2000.0,62.58,225.3,2.65,30.05,32.70
114,188.72,1.503,-3.637,62.677,-574.707,62.677,-0.93,2000.0,62.66,225.6,2.65,30.05,32.70
115,190.22,1.505,-3.624,62.663,-573.202,62.663,-0.93,2000.0,62.74,225.9,2.65,30.05,32.70
116,191.73,1.507,-3.611,62.649,-571.695,62.649,-0.93,2000.0,62.81,226.1,2.65,30.05,32.70
117,193.24,1.508,-3.598,62.634,-570.188,62.634,-0.96,2000.0,62.84,226.2,2.65,30.05,32.70
118,194.75,1.509,-3.586,62.619,-568.678,62.619,-1.01,2000.0,62.93,226.5,2.65,30.05,32.70
119,196.26,1.511,-3.573,62.604,-567.167,62.604,-1.00,2000.0,63.01,226.8,2.65,30.05,32.70
120,197.77,1.513,-3.560,62.589,-565.654,62.589,-0.98,2000.0,63.07,227.0,2.65,30.05,32.70
121,199.29,1.515,-3.547,62.574,-564.140,62.574,-0.98,2000.0,63.14,227.3,2.65,30.05,32.70
122,200.80,1.516,-3.534,62.560,-562.623,62.560,-0.97,2000.0,63.21,227.6,2.65,30.05,32.70
123,202.32,1.518,-3.522,62.545,-561.106,62.545,-0.99,2000.0,63.27,227.8,2.65,30.05,32.70
124,203.84,1.519,-3.509,62.528,-559.586,62.528,-1.07,2000.0,63.32,228.0,2.65,30.05,32.70
125,205.36,1.520,-3.495,62.511,-558.066,62.511,-1.15,2000.0,63.37,228.1,2.65,30.05,32.70
126,206.88,1.522,-3.482,62.492,-556.544,62.492,-1.22,2000.0,63.44,228.4,2.65,30.05,32.70
127,208.41,1.524,-3.469,62.474,-555.021,62.474,-1.23,2000.0,63.52,228.7,2.65,30.05,32.70
128,209.93,1.526,-3.455,62.455,-553.495,62.455,-1.23,2000.0,63.61,229.0,2.65,30.05,32.70
