index,distance_m,segment_length_m,x,y,z,elevation_m,gradient_pct,radius_m,speed_ms,speed_kmh,width_left_m,width_right_m,width_total_m
0,0.00,1.576,-6.715,64.096,-756.783,64.096,0.00,2000.0,44.27,159.4,2.00,2.00,4.00
1,1.58,1.576,-6.716,64.091,-756.009,64.091,-0.34,2000.0,44.34,159.6,2.00,2.00,4.00
2,3.15,1.576,-6.717,64.084,-755.101,64.084,-0.43,2000.0,44.42,159.9,2.00,2.00,4.00
3,4.73,1.576,-6.718,64.075,-754.013,64.075,-0.57,2000.0,44.51,160.2,2.00,2.00,4.00
4,6.30,1.576,-6.720,64.068,-753.167,64.068,-0.47,2000.0,44.57,160.5,2.00,2.00,4.00
5,7.88,1.576,-6.722,64.056,-751.723,64.056,-0.77,2000.0,44.66,160.8,2.00,2.00,4.00
6,9.46,1.576,-6.724,64.044,-750.173,64.044,-0.77,2000.0,44.76,161.1,2.00,2.00,4.00
7,11.03,1.576,-6.726,64.037,-749.264,64.037,-0.42,2000.0,44.82,161.3,2.00,2.00,4.00
8,12.61,1.576,-6.729,64.025,-747.516,64.025,-0.76,2000.0,44.91,161.7,2.00,2.00,4.00
9,14.19,1.576,-6.732,64.013,-745.715,64.013,-0.77,2000.0,45.00,162.0,2.00,2.00,4.00
10,15.76,1.576,-6.734,64.006,-744.624,64.006,-0.45,2000.0,45.05,162.2,2.00,2.00,4.00
11,17.34,1.576,-6.738,63.994,-742.730,63.994,-0.73,2000.0,45.14,162.5,2.00,2.00,4.00
12,18.91,1.576,-6.741,63.987,-741.537,63.987,-0.45,2000.0,45.20,162.7,2.00,2.00,4.00
13,20.49,1.576,-6.745,63.977,-739.846,63.977,-0.63,2000.0,45.28,163.0,2.00,2.00,4.00
14,22.07,1.576,-6.750,63.967,-738.005,63.967,-0.64,2000.0,45.38,163.4,2.00,2.00,4.00
15,23.64,1.576,-6.754,63.959,-736.466,63.959,-0.51,2000.0,45.45,163.6,2.00,2.00,4.00
16,25.22,1.576,-6.758,63.952,-735.195,63.952,-0.42,2000.0,45.50,163.8,2.00,2.00,4.00
17,26.80,1.576,-6.764,63.942,-733.302,63.942,-0.65,2000.0,45.59,164.1,2.00,2.00,4.00
18,28.37,1.576,-6.769,63.934,-731.772,63.934,-0.55,2000.0,45.67,164.4,2.00,2.00,4.00
19,29.95,1.576,-6.775,63.925,-730.392,63.925,-0.51,2000.0,45.73,164.6,2.00,2.00,4.00
20,31.52,1.576,-6.782,63.914,-728.494,63.914,-0.72,2000.0,45.83,165.0,2.00,2.00,4.00
21,33.10,1.576,-6.788,63.905,-727.167,63.905,-0.54,2000.0,45.89,165.2,2.00,2.00,4.00
22,34.68,1.576,-6.795,63.895,-725.619,63.895,-0.65,2000.0,45.96,165.5,2.00,2.00,4.00
23,36.25,1.576,-6.803,63.883,-723.723,63.883,-0.80,2000.0,46.05,165.8,2.00,2.00,4.00
24,37.83,1.576,-6.809,63.874,-722.464,63.874,-0.55,2000.0,46.11,166.0,2.00,2.00,4.00
25,39.40,1.576,-6.817,63.863,-720.921,63.863,-0.68,2000.0,46.18,166.2,2.00,2.00,4.00
26,40.98,1.576,-6.827,63.850,-719.014,63.850,-0.84,2000.0,46.26,166.6,2.00,2.00,4.00
