index,distance_m,segment_length_m,x,y,z,elevation_m,gradient_pct,radius_m,speed_ms,speed_kmh,width_left_m,width_right_m,width_total_m
0,0.00,1.607,-4.809,63.964,-763.554,63.964,0.00,2000.0,50.52,181.9,2.55,29.45,32.00
1,1.60,1.599,-4.804,63.956,-761.955,63.956,-0.52,2000.0,50.67,182.4,2.55,29.34,31.89
2,3.18,1.581,-4.798,63.947,-760.374,63.947,-0.52,2000.0,50.81,182.9,2.56,29.23,31.79
3,4.74,1.559,-4.792,63.939,-758.815,63.939,-0.53,2000.0,50.96,183.5,2.56,29.12,31.68
4,6.27,1.534,-4.785,63.931,-757.281,63.931,-0.53,2000.0,51.11,184.0,2.57,29.01,31.58
5,7.78,1.512,-4.779,63.923,-755.769,63.923,-0.54,2000.0,51.26,184.5,2.57,28.90,31.47
6,9.28,1.494,-4.772,63.915,-754.275,63.915,-0.54,2000.0,51.41,185.1,2.58,28.79,31.37
7,10.76,1.483,-4.766,63.907,-752.792,63.907,-0.55,2000.0,51.56,185.6,2.58,28.68,31.26
8,12.24,1.479,-4.759,63.899,-751.313,63.899,-0.55,2000.0,51.71,186.2,2.59,28.57,31.16
9,13.72,1.479,-4.752,63.890,-749.834,63.890,-0.55,2000.0,51.86,186.7,2.59,28.46,31.05
10,15.20,1.482,-4.745,63.882,-748.352,63.882,-0.55,2000.0,52.01,187.2,2.60,28.35,30.95
11,16.69,1.487,-4.739,63.874,-746.866,63.874,-0.55,2000.0,52.13,187.7,2.60,28.30,30.90
12,18.18,1.492,-4.731,63.866,-745.374,63.866,-0.55,2000.0,52.24,188.1,2.60,28.30,30.90
13,19.68,1.497,-4.724,63.858,-743.876,63.858,-0.54,2000.0,52.41,188.7,2.60,28.30,30.90
14,21.18,1.502,-4.717,63.850,-742.374,63.850,-0.54,2000.0,52.52,189.1,2.60,28.30,30.90
15,22.69,1.506,-4.709,63.842,-740.868,63.842,-0.53,2000.0,52.65,189.6,2.60,28.30,30.90
16,24.20,1.510,-4.701,63.833,-739.358,63.833,-0.53,2000.0,52.82,190.1,2.60,28.30,30.90
17,25.71,1.514,-4.693,63.825,-737.844,63.825,-0.53,2000.0,52.89,190.4,2.60,28.60,31.20
18,27.23,1.518,-4.684,63.817,-736.326,63.817,-0.53,2000.0,52.97,190.7,2.60,28.60,31.20
19,28.75,1.521,-4.675,63.809,-734.805,63.809,-0.54,2000.0,53.17,191.4,2.60,28.60,31.20
20,30.27,1.524,-4.666,63.801,-733.281,63.801,-0.55,2000.0,53.28,191.8,2.60,28.60,31.20
21,31.80,1.528,-4.657,63.792,-731.753,63.792,-0.56,2000.0,53.45,192.4,2.60,28.60,31.20
22,33.33,1.531,-4.647,63.784,-730.222,63.784,-0.57,2000.0,53.56,192.8,2.60,28.60,31.20
23,34.87,1.535,-4.637,63.775,-728.688,63.775,-0.59,2000.0,53.67,193.2,2.60,28.60,31.20
24,36.41,1.538,-4.627,63.765,-727.149,63.765,-0.61,2000.0,53.83,193.8,2.60,28.60,31.20
25,41.14,4.737,-4.593,63.734,-722.412,63.734,-0.65,2000.0,53.95,194.2,2.60,28.60,31.20
26,42.76,1.620,-4.582,63.723,-720.792,63.723,-0.72,2000.0,54.06,194.6,2.60,28.60,31.20
27,44.39,1.624,-4.571,63.711,-719.168,63.711,-0.72,2000.0,54.20,195.1,2.60,28.60,31.20
28,46.02,1.629,-4.559,63.700,-717.539,63.700,-0.70,2000.0,54.35,195.7,2.60,28.55,31.15
29,47.65,1.632,-4.548,63.690,-715.907,63.690,-0.62,2000.0,54.45,196.0,2.60,28.55,31.15
30,49.28,1.636,-4.537,63.679,-714.271,63.679,-0.64,2000.0,54.60,196.5,2.60,28.30,30.90
31,50.92,1.639,-4.526,63.670,-712.632,63.670,-0.58,2000.0,54.64,196.7,2.55,28.30,30.85
32,52.56,1.638,-4.516,63.661,-710.994,63.661,-0.54,2000.0,54.59,196.5,2.55,28.30,30.85
33,54.20,1.637,-4.505,63.652,-709.357,63.652,-0.53,2000.0,54.54,196.3,2.55,28.25,30.80
34,55.83,1.635,-4.495,63.642,-707.722,63.642,-0.59,2000.0,54.50,196.2,2.55,28.25,30.80
35,57.47,1.634,-4.485,63.630,-706.088,63.630,-0.76,2000.0,54.45,196.0,2.55,28.25,30.80
36,59.10,1.632,-4.475,63.614,-704.455,63.614,-0.95,2000.0,54.39,195.8,2.55,28.25,30.80
37,60.73,1.630,-4.465,63.599,-702.825,63.599,-0.93,2000.0,54.32,195.5,2.55,28.20,30.75
38,62.36,1.629,-4.455,63.586,-701.196,63.586,-0.83,2000.0,54.27,195.4,2.55,28.20,30.75
39,63.99,1.626,-4.445,63.574,-699.570,63.574,-0.73,2000.0,54.18,195.0,2.55,28.20,30.75
40,65.61,1.626,-4.434,63.563,-697.944,63.563,-0.67,2000.0,54.24,195.3,2.55,30.50,33.05
41,67.24,1.628,-4.423,63.551,-696.315,63.551,-0.71,2000.0,54.31,195.5,2.55,30.40,32.95
42,68.87,1.630,-4.412,63.538,-694.685,63.538,-0.78,2000.0,54.38,195.8,2.55,30.35,32.90
43,70.50,1.634,-4.400,63.525,-693.051,63.525,-0.85,2000.0,54.53,196.3,2.55,30.25,32.80
44,72.14,1.638,-4.388,63.511,-691.414,63.511,-0.84,2000.0,54.63,196.7,2.55,30.20,32.75
45,73.78,1.641,-4.375,63.497,-689.773,63.497,-0.85,2000.0,54.74,197.1,2.55,30.20,32.75
46,75.43,1.644,-4.362,63.483,-688.129,63.483,-0.88,2000.0,54.85,197.5,2.55,30.20,32.75
